question,answer,chunk_id,topic,dataset_type
ドメーヌ・セレーヌが専門としているワインの種類と目標は何ですか？,イーブンスタッド家の指導のもと、ドメーヌ・セレーヌは、世界クラスのピノ・ノワールとシャルドネの生産を目指し、卓越性を追求し続けています。,cc_news_2per_chunk_5,専門分野と目標,cc_news_2per_chunks
ドメーヌ・セレーヌとリンフィールドの提携活動にはどのようなものがありますか？,提携活動には、ワイナリーが開催する現地教育プログラムや、学生を対象としたフランス留学旅行（ブルゴーニュのシャトー・ド・ラ・クレー訪問を含む）が含まれています。,cc_news_2per_chunk_5,提携活動,cc_news_2per_chunks
新しい健康飲料はどこで販売されていますか？,この新しい健康飲料は、Whole Foods MarketとDierbergsという場所で販売されています。,cc_news_2per_chunk_6,販売場所,cc_news_2per_chunks
この健康飲料はどこで製造されていますか？,この革新的な健康飲料は、セントルイスで製造されています。,cc_news_2per_chunk_6,製造地,cc_news_2per_chunks
取材はどのような状況で行われたのですか？,FOX 2のKatie Kormannが、ダウンタウンのKarunaで施設内部の様子を取材しています。,cc_news_2per_chunk_6,取材状況,cc_news_2per_chunks
NFL選手のクリス・ロングは、シャーロットビルの出来事についてどのような見解を示しましたか？,クリス・ロングは、女性の死や多数の負傷者を出した出来事を「卑劣だ」と非難し、白人至上主義の意見を述べている大多数は地元出身ではないと主張しました。,cc_news_2per_chunk_7,クリス・ロングの批判,cc_news_2per_chunks
カイル・ロングは、地元シャーロットビルについてどのような姿勢で語っていますか？,カイル・ロングは、地元出身者として擁護的な姿勢を見せ、「少数の悪い例で、シャーロットビルやその地域が持つ真実の良さまで台無しにされてはならない」と述べています。,cc_news_2per_chunk_7,カイル・ロングの地元擁護,cc_news_2per_chunks
シャーロットビルの「Unite the Right」集会に対する批判的な反応は誰から見られましたか？,地元の住民だけでなく、クアッド・クラーク・クランのメンバーやスキンヘッドなど、ネオナチの行動を非難した人物は多く、特にレブロン・ジェームズ選手はトランプ大統領の対応も含め批判しました。,cc_news_2per_chunk_7,批判的な反応,cc_news_2per_chunks
トランプ政権は、オーストラリア大使の異動についてどのような決定を下しましたか？,トランプ政権は、元々オーストラリア大使を務める予定だったハリー・ハリス提督の異動を決定しました。この変更は、米国の北朝鮮への関与強化と関連しています。,cc_news_2per_chunk_9,大使の異動,cc_news_2per_chunks
ハリー・ハリス提督は、当初のオーストラリアでの赴任地からどこに再任命されるのですか？,ハリー・ハリス提督は、当初キャンベラ（オーストラリア）での赴任が予定されていましたが、代わりに韓国のソウルに任命されることになりました。,cc_news_2per_chunk_9,ハリスの赴任地,cc_news_2per_chunks
米国が現在注力している外交的な動きは何ですか？,米国は、トランプ大統領と金正恩委員長の間で可能となるサミットを控え、北朝鮮との関与を強化する動きを見せています。,cc_news_2per_chunk_9,北朝鮮との関与,cc_news_2per_chunks
